I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),Nernst Gain (V),Ohmic Loss (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
0.1,0.7588784265960687,0.40002130196131913,0.07410394618833437,0.7410394618833436,-0.01751083971272516,0.000328125,1.536825074161215e-07,1.8441900889934584e-06,1.2167890021049144e-07,0.048896053811665646
0.2,0.7536071385932743,0.3998441764552461,0.1481422673766687,0.7407113368833435,-0.012239551709930836,0.00065625,3.07365014832243e-07,3.6883801779869167e-06,2.433578004209829e-07,0.0978577326233313
0.3,0.7505236327811384,0.3996670509491733,0.22211496356500307,0.7403832118833436,-0.00915604589779484,0.000984375,4.6104752224836454e-07,5.532570266980374e-06,3.650367006314743e-07,0.14688503643499692
0.4,0.74833585059048,0.39948992544310047,0.29602203475333744,0.7400550868833435,-0.006968263707136511,0.0013125,6.14730029664486e-07,7.3767603559738335e-06,4.867156008419658e-07,0.19597796524666258
0.5,0.7466388748861379,0.39931279993702756,0.36986348094167176,0.7397269618833435,-0.005271288002794325,0.001640625,7.684125370806075e-07,9.220950444967292e-06,6.083945010524572e-07,0.24513651905832823
0.6,0.7452523447783441,0.3991356744309547,0.4436393021300062,0.7393988368833436,-0.003884757895000514,0.00196875,9.220950444967291e-07,1.1065140533960749e-05,7.300734012629486e-07,0.2943606978699938
0.7,0.7440800502758409,0.39895854892488186,0.5173494983183405,0.7390707118833436,-0.002712463392497316,0.002296875,1.0757775519128505e-06,1.2909330622954207e-05,8.5175230147344e-07,0.34365050168165945
0.8,0.7430645625876857,0.3987814234188089,0.5909940695066748,0.7387425868833435,-0.001696975704342186,0.002625,1.229460059328972e-06,1.4753520711947667e-05,9.734312016839315e-07,0.3930059304933252
0.9,0.7421688389662081,0.3986042979127361,0.6645730156950093,0.7384144618833436,-0.0008012520828645166,0.002953125,1.3831425667450936e-06,1.6597710800941124e-05,1.095110101894423e-06,0.4424269843049908
1.0,0.7413675868833436,0.3984271724066632,0.7380863368833436,0.7380863368833436,0.0,0.00328125,1.536825074161215e-06,1.8441900889934584e-05,1.2167890021049144e-06,0.4919136631166564
1.1,0.7406427662082585,0.3982500469005903,0.8115340330716778,0.7377582118833435,0.000724820675084977,0.003609375,1.6905075815773368e-06,2.0286090978928044e-05,1.338467902315406e-06,0.5414659669283223
1.2,0.7399810567755497,0.39807292139451744,0.8849161042600122,0.7374300868833435,0.0013865301077938107,0.0039375,1.8441900889934582e-06,2.2130281067921497e-05,1.4601468025258973e-06,0.5910838957399877
1.3,0.739372343104768,0.39789579588844454,0.9582325504483467,0.7371019618833435,0.0019952437785755914,0.004265625,1.99787259640958e-06,2.3974471156914957e-05,1.581825702736389e-06,0.6407674495516534
