I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
0.1,3.011662033018231,0.4264940972549035,0.3326653958588248,3.3266539585882478,2.169018669476965,2.669687710942903,2.09696938340326,0.2823346041411753
0.2,3.011661897321887,0.4222101515482763,0.6586478364153111,3.2932391820765554,2.1690046190953503,2.6696704173475743,2.0969614505650616,0.571352163584689
0.3,3.0116617616250307,0.4196880741237655,0.9820700934496114,3.2735669781653716,2.1689905687137356,2.669653123752246,2.0969535177268637,0.8629299065503886
0.4,3.011661625927661,0.41788734229063845,1.3038085079467923,3.25952126986698,2.1689765183321215,2.6696358301569174,2.0969455848886653,1.1561914920532081
0.5,3.011661490229778,0.41648186752856636,1.6242792833614088,3.2485585667228176,2.1689624679505073,2.669618536561589,2.096937652050467,1.4507207166385914
0.6,3.011661354531381,0.4153264013149196,1.943727558153824,3.2395459302563734,2.1689484175688927,2.6696012429662606,2.0969297192122687,1.7462724418461761
0.7,3.011661218832471,0.41434346366437375,2.262315311607481,3.2318790165821154,2.1689343671872785,2.669583949370932,2.0969217863740703,2.0426846883925194
0.8,3.0116610831330477,0.413486805930387,2.580157669005615,3.2251970862570185,2.168920316805664,2.6695666557756033,2.096913853535872,2.3398423309943857
0.9,3.0116609474331106,0.41272659678766355,2.897340709449398,3.219267454943776,2.1689062664240497,2.6695493621802746,2.0969059206976737,2.637659290550602
1.0,3.0116608117326606,0.4120424676167117,3.213931247410352,3.213931247410352,2.168892216042435,2.669532068584946,2.0968979878594753,2.9360687525896485
1.1,3.0116606760316973,0.4114198903102738,3.5299826588621497,3.2090751444201358,2.168878165660821,2.6695147749896178,2.096890055021277,3.2350173411378513
1.2,3.0116605403302197,0.4108481378512645,3.845538570287836,3.2046154752398635,2.1688641152792063,2.669497481394289,2.0968821221830787,3.5344614297121644
1.3,3.0116604046282296,0.41031906402465496,4.160635309210001,3.2004886993923085,2.168850064897592,2.669480187798961,2.0968741893448803,3.8343646907899993
1.4,3.011660268925726,0.4098263366487207,4.47530359620403,3.1966454258600216,2.168836014515978,2.6694628942036323,2.096866256506682,4.13469640379597
1.5,3.011660133222709,0.409364935985394,4.78956975102911,3.1930465006860733,2.1688219641343633,2.6694456006083036,2.0968583236684837,4.43543024897089
1.6,3.0116599975191787,0.40893081536253856,5.103456575724482,3.189660359827801,2.1688079137527487,2.669428307012975,2.096850390830286,4.73654342427552
1.7,3.0116598618151347,0.4085206648640494,5.416984016097295,3.1864611859395855,2.1687938633711346,2.6694110134176463,2.0968424579920875,5.038015983902705
1.8,3.0116597261105778,0.40813174266742236,5.73016966705061,3.1834275928058946,2.16877981298952,2.6693937198223177,2.096834525153889,5.339830332949391
1.9,3.011659590405507,0.407761752043685,6.043029165287411,3.180541665940743,2.1687657626079058,2.669376426226989,2.096826592315691,5.641970834712589
2.0,3.0116594546999225,0.4074087499438801,6.355576499124529,3.1777882495622647,2.168751712226291,2.669359132631661,2.0968186594774925,5.944423500875471
2.1,3.011659318993825,0.40707107791202485,6.667824256198967,3.175154407713794,2.168737661844677,2.669341839036332,2.096810726639294,6.247175743801034
2.2,3.0116591832872146,0.40674730908465434,6.97978382389267,3.1726290108603044,2.168723611463063,2.669324545441004,2.096802793801096,6.550216176107332
2.3,3.0116590475800904,0.40643620698143224,7.291465553246894,3.1702024144551717,2.168709561081448,2.6693072518456753,2.0967948609628975,6.853534446753105
2.4,3.0116589118724524,0.4061366930726599,7.602878894320194,3.1678662059667477,2.168695510699834,2.6692899582503467,2.096786928124699,7.157121105679806
2.5,3.011658776164301,0.40584782097184147,7.914032508950909,3.1656130035803636,2.1686814603182194,2.669272664655018,2.096778995286501,7.460967491049092
2.6,3.0116586404556367,0.4055687556928676,8.224934365451356,3.1634362944043675,2.168667409936605,2.6692553710596894,2.0967710624483025,7.7650656345486455
2.7,3.011658504746459,0.4052987568240319,8.535591818714112,3.161330303227449,2.1686533595549906,2.6692380774643607,2.096763129610104,8.069408181285889
