x,Curve1
0.154,65.976
0.921,65.401
1.382,64.889
1.689,64.633
2.457,64.185
2.918,63.61
3.532,63.226
4.146,62.587
5.375,61.947
6.143,60.988
7.064,60.285
7.678,59.645
8.6,58.942
9.367,58.43
10.442,57.982
11.978,57.278
13.514,57.276
15.203,57.147
16.585,56.954
18.12,56.314
19.656,56.057
20.731,55.736
22.267,55.671
24.57,55.349
25.645,55.22
27.488,54.643
30.098,54.449
31.941,54.192
32.862,53.935
35.012,53.869
36.855,53.548
38.698,53.291
40.08,53.034
41.769,52.968
43.765,52.647
45.608,52.326
47.144,52.26
48.833,52.003
50.676,51.937
52.672,51.807
55.129,51.422
58.507,51.227
61.118,50.905
62.5,50.839
64.343,50.774
65.725,50.517
67.721,50.323
70.792,49.937
73.557,49.806
76.321,49.356
78.624,49.29
80.62,49.16
82.617,48.839
84.92,48.709
87.224,48.515
89.066,48.194
91.37,48.127
92.752,47.998
94.748,47.677
96.898,47.675
99.969,47.224
101.351,47.223
103.501,47.093
105.958,46.963
108.569,46.896
110.258,46.703
114.097,46.507
116.4,46.25
120.086,45.99
122.236,45.733
124.693,45.666
126.382,45.473
128.532,45.407
130.412,45.268
131.997,45.114
133.337,44.91
135.287,44.655
137.116,44.552
139.31,44.397
141.138,44.193
143.332,44.089
145.282,43.834
147.841,43.679
149.548,43.576
151.376,43.32
152.717,43.218
154.789,43.114
156.129,42.961
158.08,42.807
159.664,42.602
162.102,42.296
164.296,42.141
166.733,41.936
168.561,41.681
170.268,41.679
171.852,41.475
173.315,41.27
175.387,41.167
177.337,41.063
179.897,40.909
182.7,40.5
185.137,40.295
187.819,40.191
189.647,40.088
191.232,39.934
193.791,39.627
196.107,39.371
197.813,39.218
200.129,39.012
202.932,38.756
204.761,38.704
206.467,38.55
208.661,38.345
210.855,38.342
212.439,38.087
214.511,37.984
215.852,37.83
217.558,37.575
219.508,37.523
221.946,37.317
223.043,37.316
224.871,37.264
