x,Curve1
1.49,28.1911
8.2,28.2328
14.17,28.2952
17.52,28.3056
25.35,28.3473
30.57,28.3889
33.92,28.3994
36.53,28.3995
39.89,28.3996
43.24,28.4204
45.85,28.4308
51.44,28.431
55.17,28.4311
58.53,28.4311
61.88,28.4312
63.37,28.3068
63.75,23.0905
64.12,24.3039
64.49,22.7276
64.86,22.7513
65.24,22.4995
65.61,22.8417
67.1,22.9973
67.85,23.0906
68.59,23.1944
70.08,23.3292
71.58,23.433
72.32,23.4848
73.44,23.5575
75.68,23.6197
77.17,23.6924
78.66,23.7754
79.78,23.8584
80.52,23.9102
82.39,23.9829
85.74,24.0556
87.6,24.1282
90.59,24.2216
92.08,24.2631
93.94,24.3047
96.55,24.3358
100.65,24.4085
106.62,24.4605
111.46,24.5436
115.94,24.606
121.16,24.658
127.12,24.71
133.46,24.7412
140.54,24.7933
144.27,24.8141
149.86,24.8454
153.22,24.8558
158.81,24.8456
161.79,24.8664
168.87,24.877
172.23,24.8252
174.46,24.7112
174.84,24.6697
177.82,24.9705
180.8,25.0536
184.53,25.0744
191.99,25.0953
198.7,25.0955
207.64,25.0958
213.98,25.0959
219.94,25.0961
223.3,25.1065
227.77,25.1378
231.87,25.1482
235.23,25.1483
239.33,25.1795
243.06,25.2004
249.02,25.2524
252.38,25.2732
253.12,25.2732
260.21,25.2942
272.13,25.2841
276.23,25.2531
279.96,25.0665
281.08,25.0043
283.69,25.2637
285.93,25.3052
290.03,25.3053
293.76,25.295
300.47,25.2952
302.33,25.2952
307.55,25.2954
311.65,25.2851
315.75,25.2852
321.34,25.2957
328.8,25.2959
335.14,25.2857
341.85,25.2963
347.44,25.2964
353.77,25.2966
359.37,25.2864
