I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
0.1,3.0120122442199793,0.4265389961269225,0.33270041697899955,3.3270041697899955,2.169018669476965,2.669687710942903,2.09696938340326,0.2822995830210005
0.11,3.0120122302428727,0.42595139596456877,0.36546629773760003,3.3224208885236366,2.1690172644388035,2.6696859815833704,2.0969685901194404,0.3110337022624
0.12,3.0120122162657603,0.4254146206497089,0.3981880849281275,3.3182340410677296,2.1690158594006417,2.6696842522238375,2.0969677968356204,0.3398119150718725
0.13,3.0120122022886426,0.42492052396731367,0.4308694113028561,3.314380086945047,2.1690144543624803,2.6696825228643046,2.0969670035518004,0.36863058869714393
0.14,3.0120121883115196,0.42446277373565905,0.4635133489193398,3.310809635138141,2.169013049324319,2.6696807935047717,2.096966210267981,0.39748665108066034
0.15,3.0120121743343913,0.42403635021667696,0.4961225297535121,3.307483531690081,2.1690116442861576,2.669679064145239,2.096965416984161,0.4263774702464879
0.16,3.012012160357258,0.42363720673823146,0.528699234009313,3.3043702125582057,2.169010239247996,2.669677334785706,2.096964623700341,0.45530076599068714
0.17,3.012012146380119,0.4232620333842174,0.5612454562674724,3.301443860396896,2.169008834209835,2.669675605426173,2.0969638304165215,0.4842545437325278
0.18,3.0120121324029747,0.42290808833213034,0.5937629560183111,3.298683088990617,2.169007429171673,2.66967387606664,2.0969630371327015,0.513237043981689
0.19,3.012012118425825,0.42257307485299817,0.6262532969321434,3.296069983853386,2.1690060241335116,2.6696721467071076,2.0969622438488815,0.5422467030678567
0.2,3.012012104448671,0.42225504989786394,0.6587178778406679,3.293589389203339,2.1690046190953503,2.6696704173475743,2.0969614505650616,0.5712821221593323
0.21,3.0120120904715106,0.4219523550107442,0.691157957507599,3.2912283690838047,2.169003214057189,2.669668687988042,2.096960657281242,0.6003420424924011
0.22,3.012012076494346,0.4216635633281745,0.7235746746711474,3.2889757939597613,2.1690018090190275,2.669666958628509,2.0969598639974225,0.6294253253288526
0.23,3.0120120625171753,0.42138743836981823,0.755969064435454,3.2868220192845823,2.1690004039808657,2.669665229268976,2.096959070713602,0.6585309355645462
0.24,3.012012048539999,0.4211229016059768,0.7883420718063887,3.2847586325266196,2.1689989989427048,2.669663499909443,2.0969582774297826,0.6876579281936114
0.25,3.0120120345628183,0.42086900665015464,0.8206945629678016,3.2827782518712065,2.168997593904543,2.66966177054991,2.0969574841459626,0.7168054370321985
0.26,3.012012020585632,0.42062491851624206,0.853027334750939,3.2808743644266882,2.1689961888663816,2.6696600411903777,2.0969566908621426,0.7459726652490611
0.27,3.0120120066084404,0.4203898967925327,0.885341122645074,3.2790411949817555,2.16899478382822,2.6696583118308443,2.096955897578323,0.7751588773549262
0.28,3.012011992631243,0.4201632818772456,0.9176366076199045,3.2772735986425157,2.168993378790059,2.669656582471312,2.096955104294503,0.8043633923800958
0.29,3.012011978654041,0.41994448363050374,0.9499144219721996,3.2755669723179297,2.1689919737518975,2.669654853111779,2.096954311010683,0.8335855780278004
0.3,3.0120119646768333,0.4197329719509197,0.9821751543651522,3.273917181217174,2.1689905687137356,2.669653123752246,2.0969535177268637,0.8628248456348478
0.31,3.0120119506996206,0.4195282688979111,1.0144193541951492,3.2723204974037072,2.1689891636755747,2.669651394392713,2.0969527244430437,0.8920806458048509
0.32,3.0120119367224025,0.4193299420651284,1.0466475353945606,3.270773548108002,2.168987758637413,2.6696496650331802,2.096951931159224,0.9213524646054395
0.33,3.012011922745179,0.4191375989738804,1.0788601797587682,3.2692732719962674,2.168986353599252,2.6696479356736478,2.0969511378754038,0.950639820241232
0.34,3.012011908767951,0.4189508823037665,1.111057739869589,3.2678168819693787,2.16898494856109,2.6696462063141144,2.0969503445915842,0.9799422601304114
0.35,3.0120118947907164,0.41876946581483454,1.1432406416744982,3.2664018333557094,2.1689835435229288,2.6696444769545815,2.0969495513077643,1.0092593583255018
0.36,3.012011880813477,0.4185930508443295,1.1754092867708774,3.2650257965857707,2.1689821384847674,2.669642747595049,2.0969487580239443,1.0385907132291226
0.37,3.012011866836233,0.4184213632835333,1.2075640544362771,3.26368663361156,2.1689807334466056,2.669641018235516,2.096947964740125,1.067935945563723
0.38,3.0120118528589828,0.41825415095784557,1.2397053034390544,3.2623823774711957,2.1689793284084447,2.6696392888759832,2.096947171456305,1.0972946965609458
0.39,3.012011838881728,0.41809118134723805,1.2718333736582983,3.261111214508457,2.168977923370283,2.6696375595164503,2.0969463781724853,1.126666626341702
0.4,3.0120118249044676,0.41793223959535725,1.3039485875375147,3.259871468843787,2.1689765183321215,2.6696358301569174,2.0969455848886653,1.1560514124624854
0.41,3.012011810927202,0.41777712676449735,1.3360512513928626,3.2586615887630797,2.16897511329396,2.6696341007973845,2.0969447916048454,1.1854487486071374
0.42,3.012011796949931,0.4176256583008816,1.3681416565936884,3.257480134746877,2.1689737082557987,2.6696323714378516,2.096943998321026,1.2148583434063118
0.43,3.0120117829726545,0.41747766268055314,1.4002200806305753,3.2563257689083147,2.1689723032176373,2.669630642078319,2.0969432050372054,1.2442799193694247
0.44,3.012011768995373,0.41733298021095383,1.4322867880839936,3.25519724564544,2.168970898179476,2.669628912718786,2.096942411753386,1.2737132119160066
0.45,3.0120117550180865,0.41719146196719237,1.4643420315048452,3.2540934033441005,2.1689694931413146,2.6696271833592533,2.096941618469566,1.303157968495155
0.46,3.0120117410407943,0.41705296884523746,1.4963860522167123,3.2530131569928527,2.168968088103153,2.6696254539997204,2.096940825185746,1.332613947783288
0.47,3.0120117270634967,0.41691737071694224,1.52841908104831,3.2519554915921494,2.1689666830649914,2.6696237246401875,2.0969400319019265,1.3620809189516898
0.48,3.012011713086194,0.41678454567403406,1.5604413390035836,3.250919456257466,2.16896527802683,2.6696219952806546,2.0969392386181065,1.3915586609964163
0.49,3.0120116991088857,0.41665437935006194,1.5924530378759367,3.2499041589304833,2.1689638729886687,2.6696202659211217,2.096938445334287,1.4210469621240633
0.5,3.0120116851315726,0.41652676431084773,1.6244543808123062,3.2489087616246124,2.1689624679505073,2.669618536561589,2.096937652050467,1.450545619187694
0.51,3.0120116711542537,0.41640159950530187,1.656445562832091,3.247932476141355,2.168961062912346,2.669616807202056,2.096936858766647,1.4800544371679092
0.52,3.01201165717693,0.4162787897695689,1.6884267713053716,3.2469745602026374,2.168959657874184,2.669615077842523,2.0969360654828275,1.5095732286946288
0.53,3.0120116431996014,0.41615824537840496,1.7203981863943263,3.246034313951559,2.1689582528360227,2.6696133484829905,2.096935272199007,1.539101813605674
0.54,3.0120116292222665,0.4160398816384914,1.7523599814613262,3.2451110767802334,2.1689568477978614,2.6696116191234576,2.0969344789151876,1.5686400185386742
0.55,3.0120116152449268,0.4159236185190659,1.784312323446793,3.244204224448714,2.1689554427597,2.6696098897639247,2.0969336856313676,1.5981876765532075
0.56,3.0120116012675817,0.41580938031583403,1.8162553732195634,3.2433131664635058,2.1689540377215386,2.6696081604043918,2.096932892347548,1.6277446267804372
0.57,3.0120115872902313,0.41569709534463034,1.8481892859022264,3.242437343688117,2.168952632683377,2.669606431044859,2.096932099063728,1.6573107140977734
0.58,3.012011573312876,0.41558669566171996,1.880114211173621,3.241576226161416,2.168951227645216,2.669604701685326,2.096931305779908,1.6868857888263789
0.59,3.012011559335515,0.41547811680801033,1.9120302935504638,3.240729311102481,2.168949822607054,2.669602972325793,2.0969305124960886,1.7164697064495362
0.6,3.012011545358149,0.4153712975747617,1.943937672649885,3.2398961210831416,2.1689484175688927,2.6696012429662606,2.0969297192122687,1.7460623273501152
