x,Curve1
99.50812,31.9015
99.51828,31.9015
99.5264,31.9015
99.53656,31.9015
99.55077,31.9015
99.5589,31.9015
99.56499,31.9015
99.56905,31.9015
99.57311,31.9015
99.58123,31.9015
99.58936,31.9015
99.60764,31.9015
99.62388,31.9015
99.63201,31.9015
99.65232,31.9015
99.66044,31.9015
99.67465,31.9015
99.68684,31.9015
99.69699,31.9015
99.71527,31.9015
99.72746,31.9015
99.74777,31.9015
99.75995,31.9015
99.77214,31.9015
99.78635,31.9015
99.8026,31.9015
99.81072,31.9015
99.83103,31.9015
99.83306,31.9015
99.84322,31.9015
99.86149,31.9015
99.86759,31.9015
99.86962,31.9015
99.8879,31.9015
99.89805,31.9015
99.92242,31.9015
99.93258,31.9015
99.94273,31.9015
99.95898,31.9015
99.97725,31.9015
100.00366,31.9015
100.0199,31.9015
100.03818,31.9015
100.0524,31.9015
100.07474,31.9015
100.08489,31.9015
100.09911,31.9015
100.11332,31.9015
100.12551,31.9015
100.13972,31.9015
100.14785,31.9015
100.14988,31.9015
100.158,31.9015
100.16206,31.9015
100.16409,31.9015
100.16613,30.7979
100.16816,30.3927
100.17019,30.6531
100.17425,30.2045
100.17831,30.0453
100.18237,29.7992
100.1844,29.5098
100.18643,29.3361
100.18846,29.2782
100.1905,29.1769
100.19253,29.0466
100.19456,29.0177
100.19862,28.9019
100.20268,28.815
100.20674,28.8005
100.2169,28.7281
100.22502,28.6557
100.23721,28.5543
100.24736,28.453
100.25548,28.3661
100.26158,28.2937
100.2697,28.2502
100.28392,28.2357
100.29001,28.1633
100.29407,28.0764
100.31032,28.0185
100.31235,28.0185
100.32453,28.0184
100.34281,27.9893
100.355,27.9748
100.38546,27.6852
100.38749,26.8892
100.39764,26.6866
100.39968,26.5418
100.40171,26.3537
100.40577,26.2524
100.41186,26.0931
100.41592,26.0207
100.42201,25.9194
100.43014,25.7602
100.43217,25.6444
100.4342,25.601
100.43826,25.5865
100.44842,25.4272
100.45654,25.3114
100.47076,25.2245
100.48294,25.0942
100.49513,25.0217
100.49919,24.9349
100.5134,24.848
100.5195,24.79
100.52762,24.7466
100.54184,24.6886
100.55199,24.6162
100.56011,24.5438
100.5723,24.5292
100.57839,24.5147
100.58448,25.383
100.58652,24.891
100.58855,26.2079
100.59058,25.7592
100.59667,26.2947
100.60885,26.4538
100.61292,26.6129
100.62104,26.7576
100.6251,26.8878
100.63526,27.1483
100.64947,27.3074
100.66572,27.481
100.6779,27.6401
100.68197,27.7703
100.684,28.2768
100.68806,28.5517
100.69009,28.7109
100.69212,29.5213
100.69618,29.8107
100.70431,29.9843
100.70634,30.0277
100.70837,30.1435
100.71852,30.2013
100.72258,30.2447
100.73071,30.3605
100.73274,30.4039
100.73883,30.4472
100.74289,30.4762
100.75914,30.5774
100.76726,30.6063
100.77132,30.6641
100.78148,30.7509
100.78351,30.7943
100.78757,30.8088
100.80382,30.9389
100.816,30.9388
100.84037,31.0111
100.85459,31.0111
100.88708,31.0111
100.90739,31.0111
100.93582,31.0111
100.95816,31.0111
100.97035,31.0111
100.98253,31.0111
101.00081,31.0111
101.01909,31.0111
101.03331,31.0111
101.05768,31.0111
101.07189,31.0111
101.09626,31.0111
101.11048,31.0111
101.12063,31.0111
101.13688,31.0111
101.14907,31.0111
101.17141,31.0111
101.18968,31.0111
101.19984,31.0111
101.20999,31.0111
101.22624,31.0111
101.23233,31.0111
101.24858,31.0111
101.25873,31.0111
101.26483,31.0111
101.27701,31.0111
101.29326,31.0111
101.30747,31.0111
101.32372,31.0111
101.33997,31.0111
101.37652,31.0111
101.3948,31.0111
101.40496,31.0111
101.42526,31.0111
101.44354,31.0111
101.45979,31.0111
101.474,31.0111
101.49025,31.0111
101.50041,31.0111
101.52275,31.0111
101.54915,31.0111
101.56539,31.0111
101.58164,31.0111
101.5918,31.0111
101.60804,31.0111
101.61413,31.0111
101.62632,31.0111
101.64054,31.0111
101.65678,31.0111
101.66491,31.0111
101.67506,31.0111
101.68522,31.0111
101.69537,31.0111
101.70146,31.0111
101.7238,31.0111
101.74005,31.0111
101.75426,31.0111
101.77051,31.0111
101.78676,31.0111
101.80707,31.0111
101.82535,31.0111
101.84768,31.0111
101.85581,31.0111
101.87002,31.0111
101.89033,31.0111
101.90049,31.0111
101.91877,31.0111
101.93501,31.0111
101.9472,31.0111
101.96751,31.0111
101.98985,31.0111
