t,I_fc
0,0.01
0.00011814,0.010047246
0.000236279,0.010094493
0.000354419,0.010141739
0.001184482,0.010473698
0.002014546,0.010805657
0.002844609,0.011137616
0.003674672,0.011469575
0.007655777,0.013061698
0.011636881,0.014653822
0.015617986,0.016245945
0.01959909,0.017838068
0.02954098,0.021814029
0.03948287,0.025789989
0.04942476,0.02976595
0.059366651,0.033741911
0.069308541,0.037717872
0.092050367,0.046812783
0.114792194,0.055907694
0.137534021,0.065002605
0.160275847,0.074097517
0.183017674,0.083192428
0.228771902,0.101490459
0.274526131,0.11978849
0.32028036,0.138086521
0.366034588,0.156384553
0.411788817,0.174682584
0.488767518,0.205467906
0.565746219,0.236253228
0.64272492,0.26703855
0.719703622,0.297823872
0.796682323,0.328609195
0.912425811,0.37489733
1.028169299,0.421185466
1.143912787,0.467473602
1.259656275,0.513761738
1.375399764,0.560049873
1.564415015,0.635640853
1.753430267,0.711231832
1.942445519,0.786822812
2.131460771,0.862413791
2.320476023,0.938004771
2.810821259,1.134103638
3.301166496,1.330202505
3.791511733,1.526301372
4.28185697,1.722400239
4.772202207,1.918499106
5.516805339,2.216280791
6.261408471,2.514062476
7.006011604,2.81184416
7.750614736,3.109625845
8.495217868,3.40740753
10.03825562,4.024499189
11.58129338,4.641590848
13.12433113,5.258682506
14.66736889,5.875774165
16.21040664,6.492865824
19.18953201,7.684277643
22.16865738,8.875689461
25.14778276,10.06710128
28.12690813,11.2585131
31.1060335,12.44992492
36.6832936,14.68038278
42.2605537,16.91084064
47.8378138,19.1412985
53.41507391,21.37175636
58.99233401,23.60221422
68.99233401,27.60141422
78.99233401,31.60061422
88.99233401,35.59981422
98.99233401,39.59901422
108.992334,43.59821422
118.992334,47.59741422
128.992334,51.5969336
138.992334,55.5969336
148.992334,59.5969336
158.992334,63.5969336
168.992334,67.5969336
178.992334,71.5969336
188.992334,75.5969336
198.992334,79.5969336
208.992334,83.5969336
218.992334,87.5969336
228.992334,91.5969336
238.992334,95.5969336
248.992334,99.5969336
258.992334,103.5969336
268.992334,107.5969336
278.992334,111.5969336
288.992334,115.5969336
298.992334,119.5969336
308.992334,123.5969336
318.992334,127.5969336
328.992334,131.5969336
338.992334,135.5969336
348.992334,139.5969336
358.992334,143.5969336
368.992334,147.5969336
378.992334,151.5969336
388.992334,155.5969336
398.992334,159.5969336
408.992334,163.5969336
418.992334,167.5969336
428.992334,171.5969336
438.992334,175.5969336
448.992334,179.5969336
458.992334,183.5969336
468.992334,187.5969336
478.992334,191.5969336
488.992334,195.5969336
496.0405853,198.4162341
496.9758633,198.7903453
497.9111413,199.1644565
498.8464192,199.5385677
499.7816972,199.9126789
499.8520303,199.9408121
499.9223634,199.9689453
499.9926964,199.9970786
499.9978338,199.9991335
500,0.01
